Status,Address,Interior,Renter CID,Renter Name,Phone,Income,Cost
Evictable,Forum Drive 2 / Apt1,Janitor Apartment,292,Abhimannu Das,696-9911,$1,500,$1,500
Empty,Forum Drive 2 / Apt2,Janitor Apartment,N/A,N/A,N/A,$0,$1,500
Evictable,Forum Drive 2 / Apt3,Janitor Apartment,80,Shinji Slick B,357-7551,$2,500,$1,500
Paid 11/12/2026,Forum Drive 2 / Apt4,Janitor Apartment,471,Munshi Jr,559-3942,$10,$1,500
Overdue,Forum Drive 2 / Apt5,Janitor Apartment,293,Akkhar Adhikari,488-1724,$1,$1,500
Overdue,Forum Drive 2 / Apt6,Janitor Apartment,356,Freak Carlos,262-3261,$10,$1,500
Paid 11/12/2026,Forum Drive 2 / Apt7,Janitor Apartment,69,Alphonse Capone,367-8007,$10,$1,500
Paid 10/8/2026,Forum Drive 2 / Apt8,Janitor Apartment,497,Pablo Escobar,987-9002,$10,$1,500
Paid 11/12/2026,Forum Drive 2 / Apt9,Janitor Apartment,508,Mike Reggal,435-5025,$10,$1,500
Paid 8/15/2026,Forum Drive 2 / Apt10,Janitor Apartment,281,Dg Dorado,883-3184,$1,000,$1,500
Paid 10/8/2026,Forum Drive 2 / Apt12,Janitor Apartment,84,Kane Ramirez,774-5716,$100,$1,500
Overdue,Forum Drive 2 / Apt13,Janitor Apartment,1122,Julian Roth,248-6161,$1,000,$1,500
Paid 8/14/2026,Forum Drive 2 / Apt14,Janitor Apartment,281,Dg Dorado,883-3184,$1,000,$1,500
Overdue,Forum Drive 2 / Apt15,Janitor Apartment,293,Akkhar Adhikari,488-1724,$10,$1,500
Evictable,Forum Drive 2 / Apt16,Janitor Apartment,293,Akkhar Adhikari,488-1724,$10,$1,500
Evictable,Forum Drive 2 / Apt17,Janitor Apartment,46,Rotax Kit,839-9450,$3,000,$1,500
Paid 8/23/2026,Forum Drive 2 / Apt18,Janitor Apartment,573,Muffin Griffin,141-7236,$1,000,$1,500
Paid 9/6/2026,Forum Drive 2 / Apt19,Janitor Apartment,1557,Sajeed Raihan Samir,566-0027,$1,000,$1,500
Overdue,Forum Drive 2 / Apt20,Janitor Apartment,405,Khokan Kar,554-6632,$3,000,$1,500
Paid 8/12/2026,Forum Drive 2 / Apt21,Janitor Apartment,672,Xenom Cortez,120-7012,$1,000,$1,500
Paid 8/8/2026,Niland Avenue 1,Trevor's Trailer,963,Prachurjo Chowdhury,101-8282,$2,000,$1,000
Empty,Niland Avenue 2,Trevor's Trailer,N/A,N/A,N/A,$0,$1,000
Evictable,Niland Avenue 3,Trevor's Trailer,2379,Ethan Arfex,368-2197,$3,000,$1,000
Empty,Niland Avenue 4,Trevor's Trailer,N/A,N/A,N/A,$0,$1,000
Paid 8/27/2026,Niland Avenue 5,Trevor's Trailer,310,Nishar Reza,789-4945,$2,250,$1,000
Evictable,Niland Avenue 6,Trevor's Trailer,293,Akkhar Adhikari,488-1724,$1,$1,000
Empty,Niland Avenue 7,Trevor's Trailer,N/A,N/A,N/A,$0,$1,000
Empty,Niland Avenue 8,Trevor's Trailer,N/A,N/A,N/A,$0,$1,000
Paid 8/8/2026,Steele Way 1,Michael's Mansion,2230,Adeline Envrentó,823-7514,$10,000,$8,000
Overdue,Steele Way 2,Michael's Mansion,356,Freak Carlos,262-3261,$800,$8,000
Paid 10/29/2026,Steele Way 3,Michael's Mansion,471,Munshi Jr,559-3942,$8,000,$8,000
Overdue,Steele Way 4,Michael's Mansion,2098,Shidharto Cruz,778-8648,$12,000,$8,000
Empty,Steele Way 5,Michael's Mansion,N/A,N/A,N/A,$0,$8,000
Overdue,Steele Way 6,Michael's Mansion,1305,Levi Ackerman,908-1069,$9,000,$8,000
Paid 8/12/2026,Nikola Avenue 1,Michael's Mansion,356,Freak Carlos,262-3261,$1,000,$8,000
Paid 8/20/2026,Nikola Avenue 2,Trevor's Beach House,733,Nexus Andree,863-6423,$7,000,$5,000
Overdue,Nikola Avenue 3,Trevor's Beach House,164,Drek Dee,612-4036,$5,000,$5,000
Paid 8/31/2026,Nikola Avenue 4,Mid-End Apartment (House),548,Mir Jafor Ali Khan,717-6835,$6,500,$4,500
Paid 8/8/2026,Nikola Avenue 5,Mid-End Apartment (House),729,Zero Yagami,230-5868,$6,000,$4,500
Paid 8/21/2026,Nikola Avenue 6,Mid-End Apartment (House),1521,Roy Vahi,989-8827,$6,000,$4,500
Empty,Eclipse Boulevard 1,Motel,N/A,N/A,N/A,$0,$500
Empty,Eclipse Boulevard 2,Motel,N/A,N/A,N/A,$0,$500
Empty,Eclipse Boulevard 3 / Apt1,Motel,N/A,N/A,N/A,$0,$500
